28-09-2018 10:54:05 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.433 seconds (JVM running for 11.539)
28-09-2018 10:56:34 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 15196 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:56:34 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:56:43 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.079 seconds (JVM running for 10.668)
28-09-2018 10:58:36 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 23544 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:58:36 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:58:47 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 12.675 seconds (JVM running for 15.96)
28-09-2018 10:59:31 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 14352 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:59:31 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:59:39 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.244 seconds (JVM running for 11.249)
28-09-2018 11:01:17 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 21972 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:01:17 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:01:26 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.311 seconds (JVM running for 10.881)
28-09-2018 11:02:05 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 24316 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:02:05 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:02:14 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.426 seconds (JVM running for 11.46)
28-09-2018 11:06:23 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 21708 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:06:23 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:06:33 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 10.453 seconds (JVM running for 12.392)
28-09-2018 11:07:47 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 11712 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:07:47 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:07:57 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.854 seconds (JVM running for 11.409)
28-09-2018 11:09:17 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 3796 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:09:17 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:09:27 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.694 seconds (JVM running for 12.886)
28-09-2018 11:10:33 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 19612 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 11:10:33 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 11:10:42 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.133 seconds (JVM running for 11.033)
